response	response_time	trial_ISI	trial_shape
None	0	1500	blue_square
space	468	2500	red_square
None	0	2000	red_star
space	495	1000	red_square
None	0	1000	yellow_star
None	0	1000	blue_triangle
None	0	1000	green_star
space	393	1000	red_square
None	0	2500	green_triangle
None	0	1500	red_star
None	0	1000	yellow_star
None	0	1000	blue_circle
space	355	1000	red_square
space	600	2000	red_square
None	0	2000	green_star
None	0	1000	green_star
None	0	2500	yellow_circle
None	0	2500	green_circle
None	0	2500	blue_square
None	0	2500	blue_star
space	428	2000	red_square
space	577	1500	red_square
None	0	2000	red_triangle
None	0	2500	blue_circle
None	0	1000	blue_square
None	0	2500	red_triangle
None	0	2500	blue_circle
space	479	2000	red_square
None	0	1500	red_star
space	395	2000	red_square
space	568	2000	red_square
space	409	1500	red_square
None	0	2000	green_square
space	524	1500	red_square
space	412	2000	red_square
space	443	2500	red_square
None	0	2000	blue_circle
None	0	2000	red_circle
None	0	2000	yellow_circle
None	0	2000	red_triangle
space	476	2000	red_square
None	0	1000	blue_triangle
space	468	1000	red_square
None	0	1000	green_circle
None	0	1000	green_square
None	0	2500	green_star
None	0	2500	green_circle
None	0	1500	green_square
None	0	1500	green_circle
space	466	2500	red_square
None	0	1000	green_square
None	0	2500	blue_square
None	0	1000	green_square
None	0	1500	red_star
None	0	2000	green_square
None	0	1500	blue_star
space	466	2000	red_square
None	0	1500	yellow_star
space	498	2500	red_square
None	0	2500	green_square
None	0	2500	green_triangle
None	0	2500	red_circle
None	0	1500	yellow_triangle
None	0	1000	green_star
None	0	1500	yellow_triangle
None	0	1000	yellow_triangle
None	0	2500	green_star
space	481	2000	red_square
None	0	2500	red_triangle
None	0	2500	green_circle
space	494	2500	red_square
None	0	1000	red_circle
None	0	1500	green_square
None	0	1500	green_circle
space	540	1500	red_square
None	0	2000	blue_triangle
None	0	2000	green_triangle
space	534	2500	red_square
None	0	1000	yellow_circle
space	570	1000	red_square
None	0	1500	blue_star
None	0	2500	blue_square
None	0	1500	green_circle
None	0	1000	green_circle
space	460	1000	red_square
None	0	2500	green_square
None	0	1500	yellow_square
space	415	1000	red_square
None	0	1500	red_triangle
None	0	1500	green_triangle
None	0	2500	green_star
space	503	1000	red_square
space	670	1500	red_square
space	450	1500	red_square
space	442	1000	red_square
space	455	2500	red_square
None	0	1500	blue_star
None	0	1500	red_circle
None	0	1000	yellow_circle
None	0	1000	green_triangle
space	432	1500	red_square
space	407	1000	red_square
None	0	2500	red_triangle
None	0	2500	blue_square
None	0	1000	red_circle
space	427	2000	red_square
space	549	2500	red_square
space	432	1500	red_square
None	0	2000	yellow_square
None	0	2500	red_star
None	0	1500	green_square
None	0	1500	green_triangle
None	0	1000	red_triangle
None	0	1500	blue_star
None	0	1500	red_circle
None	0	2500	blue_square
None	0	2000	yellow_triangle
None	0	1000	yellow_square
space	451	2000	red_square
space	582	2000	red_square
space	435	1500	red_square
space	509	1000	red_square
space	646	2000	red_square
None	0	1000	blue_square
space	597	1500	red_square
None	0	1500	green_star
None	0	1500	blue_star
None	0	2000	green_circle
None	0	1500	blue_triangle
None	0	1000	red_triangle
None	0	1000	green_square
None	0	2500	green_triangle
None	0	1000	blue_circle
None	0	2500	green_square
space	523	1500	red_square
None	0	2500	red_triangle
None	0	1000	red_circle
space	469	1500	red_square
space	394	2500	red_square
None	0	2000	blue_star
None	0	1000	blue_triangle
space	488	2500	red_square
space	420	1000	red_square
None	0	2500	blue_triangle
None	0	1500	red_circle
None	0	1000	blue_triangle
space	480	1500	red_square
space	381	2500	red_square
None	0	2000	red_circle
space	424	1500	red_square
None	0	1500	green_square
space	470	1000	red_square
None	0	2500	blue_star
None	0	1000	green_star
None	0	2000	blue_circle
None	0	2000	yellow_square
None	0	2500	green_circle
space	431	2000	red_square
None	0	2000	blue_circle
None	0	2000	yellow_star
space	357	2000	red_square
None	0	1000	yellow_triangle
None	0	1000	red_circle
None	0	1000	yellow_star
None	0	1000	blue_square
None	0	2000	yellow_triangle
None	0	2500	green_star
None	0	2000	green_star
space	451	1000	red_square
None	0	2000	red_triangle
None	0	1500	yellow_circle
None	0	2000	yellow_star
None	0	2000	yellow_square
None	0	1500	red_star
None	0	1500	red_triangle
None	0	1000	yellow_star
None	0	2500	green_triangle
None	0	2000	red_star
space	523	2000	red_square
space	554	1000	red_square
None	0	2000	blue_triangle
None	0	1500	red_triangle
None	0	2500	green_square
None	0	2000	red_star
space	421	1500	red_square
None	0	1500	blue_star
None	0	1500	red_circle
None	0	2000	red_circle
space	402	1500	red_square
None	0	2500	yellow_circle
None	0	2000	red_square
None	0	2500	green_circle
None	0	2000	red_circle
None	0	1000	blue_square
None	0	1500	red_triangle
None	0	1500	blue_triangle
None	0	2500	yellow_square
None	0	1500	yellow_square
None	0	1500	yellow_circle
space	437	2000	red_square
None	0	1000	blue_triangle
None	0	1000	yellow_triangle
None	0	1000	green_triangle
None	0	2500	red_circle
None	0	1000	yellow_square
space	502	2000	red_square
None	0	1500	green_star
None	0	2000	yellow_circle
None	0	1000	red_star
space	442	2500	red_square
None	0	1500	blue_square
None	0	1000	red_circle
space	417	2500	red_square
None	0	1000	blue_circle
space	441	2500	red_square
None	0	2500	red_triangle
None	0	1500	red_triangle
None	0	1500	red_star
space	428	2000	red_square
None	0	1500	yellow_star
space	484	1500	red_square
space	480	1000	red_square
None	0	2500	yellow_square
space	492	2500	red_square
space	622	1500	red_square
None	0	1500	blue_square
space	342	2000	red_square
None	0	2500	blue_square
None	0	1500	green_triangle
None	0	1500	red_circle
None	0	2000	green_square
None	0	2500	yellow_square
None	0	2500	green_triangle
space	462	2500	red_square
None	0	2500	yellow_triangle
None	0	1000	blue_star
None	0	2500	blue_star
space	421	2500	red_square
None	0	1000	yellow_circle
None	0	2000	red_star
None	0	1000	blue_circle
None	0	2000	yellow_triangle
space	392	1000	red_square
space	525	1000	red_square
space	373	2500	red_square
space	401	1000	red_square
space	455	1000	red_square
space	361	1000	red_square
None	0	2000	red_star
None	0	1000	green_square
None	0	2500	red_circle
None	0	2000	yellow_square
None	0	1500	green_circle
space	417	2000	red_square
space	357	1500	red_square
None	0	2000	yellow_circle
space	550	2500	red_square
None	0	2500	blue_square
None	0	1000	yellow_square
None	0	2000	red_triangle
space	422	2000	red_square
None	0	2500	blue_square
None	0	2000	red_triangle
space	514	2000	red_square
None	0	2000	yellow_square
None	0	1500	yellow_triangle
None	0	2500	red_star
None	0	2000	blue_star
space	435	2500	red_square
None	0	2000	red_circle
space	445	2500	red_square
None	0	2000	blue_circle
None	0	1500	green_circle
None	0	2500	green_square
space	392	1000	red_square
None	0	2000	yellow_square
None	0	1000	yellow_square
None	0	1000	red_star
space	392	2500	red_square
None	0	2500	green_square
space	434	1500	red_square
None	0	1500	yellow_star
None	0	2000	blue_square
space	359	1500	red_square
None	0	1500	yellow_square
None	0	1000	blue_triangle
None	0	1500	yellow_triangle
None	0	2000	red_star
space	353	2000	red_square
None	0	1500	blue_square
None	0	1500	blue_square
None	0	1000	yellow_square
space	487	2500	red_square
None	0	2500	yellow_star
None	0	1000	green_triangle
None	0	2500	red_star
space	434	1500	red_square
None	0	2500	red_circle
space	444	2000	red_square
space	384	1000	red_square
None	0	2500	yellow_square
None	0	1000	blue_star
None	0	2000	yellow_circle
None	0	2000	blue_triangle
None	0	2000	yellow_circle
None	0	1500	yellow_triangle
None	0	2500	yellow_star
None	0	2000	blue_circle
None	0	2000	blue_triangle
None	0	1500	blue_circle
space	452	2000	red_square
None	0	2000	red_star
space	550	1500	red_square
None	0	2000	yellow_star
None	0	1000	red_star
None	0	1000	red_star
None	0	1000	green_triangle
None	0	2500	blue_square
None	0	2500	yellow_square
None	0	1500	red_triangle
