response	response_time	trial_ISI	trial_shape
space	388	2000	red_square
None	0	2000	green_star
None	0	2000	yellow_triangle
space	386	2500	red_square
None	0	2500	red_star
space	341	1000	red_square
space	421	2500	red_square
None	0	1500	green_triangle
space	351	1000	red_square
None	0	2500	yellow_triangle
space	358	2000	red_square
space	309	1500	red_circle
space	362	2000	red_square
None	0	1000	red_star
space	337	2000	red_square
None	0	2000	blue_circle
space	344	2500	red_square
None	0	1000	blue_circle
None	0	2500	green_square
space	363	1000	red_square
None	0	1500	green_square
None	0	1000	blue_triangle
None	0	2500	red_star
None	0	1000	blue_circle
space	360	2500	red_square
None	0	1500	red_circle
None	0	2500	blue_square
None	0	2500	green_star
None	0	1000	green_circle
space	414	1000	red_square
space	374	2500	red_square
space	333	2500	red_square
None	0	2000	blue_square
None	0	2000	green_square
None	0	2500	red_star
None	0	2000	green_circle
None	0	1500	red_circle
space	315	1500	red_square
None	0	2500	blue_square
None	0	2000	yellow_square
None	0	1000	blue_triangle
space	317	1500	red_square
space	515	2000	red_square
None	0	2500	yellow_triangle
None	0	2000	red_triangle
None	0	2000	red_star
None	0	1000	green_triangle
space	358	1000	red_square
None	0	2500	blue_square
None	0	1500	yellow_star
space	361	2500	red_square
None	0	2500	blue_star
space	357	2500	red_square
None	0	1500	green_square
None	0	1000	blue_square
None	0	2500	yellow_circle
space	389	1000	red_square
None	0	2500	blue_square
None	0	2000	green_circle
None	0	1500	green_square
None	0	1000	yellow_square
None	0	1000	blue_square
None	0	1000	yellow_triangle
space	445	1000	red_square
None	0	1000	blue_square
None	0	2000	blue_triangle
None	0	1000	yellow_square
space	394	2000	red_square
None	0	2000	yellow_star
None	0	1500	blue_triangle
None	0	1500	yellow_square
space	404	1500	red_square
None	0	1500	blue_square
space	361	2000	red_square
None	0	2000	green_circle
None	0	2500	green_triangle
space	328	1500	red_square
None	0	1500	blue_triangle
None	0	2000	yellow_square
None	0	2000	blue_square
space	346	2500	red_square
space	320	1500	red_circle
None	0	1000	yellow_circle
None	0	1500	blue_circle
None	0	2500	green_triangle
space	352	1500	red_square
None	0	2500	yellow_circle
space	355	2500	red_square
None	0	1500	yellow_square
None	0	1000	blue_star
None	0	2000	yellow_star
None	0	1500	red_circle
None	0	1000	red_triangle
space	338	1500	red_square
space	400	1500	red_square
None	0	2500	green_star
None	0	2000	green_square
None	0	1500	yellow_star
space	416	1500	red_square
None	0	1000	yellow_square
space	341	2500	red_square
None	0	2000	red_triangle
None	0	1000	blue_star
None	0	1000	blue_circle
None	0	2000	green_square
space	376	1000	red_square
None	0	2000	blue_star
None	0	2500	green_star
None	0	2500	yellow_square
space	451	2000	red_square
space	322	2000	red_square
None	0	2000	blue_triangle
None	0	1000	yellow_circle
None	0	1000	green_triangle
None	0	2000	blue_triangle
space	359	1500	red_square
None	0	1000	blue_star
None	0	2500	red_star
None	0	2000	yellow_star
None	0	2500	red_triangle
None	0	2500	yellow_square
None	0	1500	red_star
None	0	2500	yellow_square
space	412	2000	red_square
None	0	1000	green_triangle
None	0	2000	red_star
space	402	2500	red_square
space	400	2500	red_square
None	0	1000	red_triangle
None	0	2500	green_star
None	0	2500	blue_star
None	0	1500	red_star
None	0	2000	blue_star
None	0	1500	red_circle
None	0	1000	yellow_triangle
None	0	1000	yellow_square
None	0	1500	green_circle
space	403	2000	red_square
space	387	1500	red_square
space	320	2000	red_square
space	376	2000	red_square
space	359	2500	red_square
None	0	2500	yellow_triangle
None	0	1000	green_circle
space	386	1000	red_square
None	0	1000	blue_triangle
None	0	2000	red_triangle
None	0	2500	red_triangle
None	0	2000	yellow_square
None	0	1500	green_triangle
None	0	1500	yellow_star
None	0	1000	red_triangle
None	0	1000	blue_triangle
space	403	1000	red_square
space	508	1000	red_square
None	0	1000	blue_circle
None	0	2500	blue_square
space	376	1500	red_square
space	382	1500	red_square
space	380	2500	red_square
space	393	2000	red_star
space	361	1500	red_square
space	390	1500	red_square
space	420	1500	red_square
None	0	2000	yellow_triangle
None	0	2500	yellow_circle
None	0	1500	green_triangle
None	0	2000	red_circle
None	0	1500	red_circle
space	425	2000	red_square
None	0	2000	green_star
space	369	1500	red_square
space	338	1000	red_square
None	0	2000	red_star
space	377	1000	red_square
None	0	2500	blue_square
None	0	2500	green_square
None	0	2000	yellow_square
None	0	2500	yellow_triangle
None	0	1500	green_square
None	0	1000	blue_circle
space	422	1500	red_square
None	0	2000	yellow_circle
None	0	1500	green_star
None	0	1500	red_star
None	0	2500	blue_circle
space	459	1500	red_square
None	0	2000	red_circle
None	0	2500	blue_square
None	0	1500	red_triangle
None	0	1500	green_square
None	0	1500	red_circle
space	415	2500	red_square
space	549	2000	red_square
None	0	2000	red_triangle
space	420	2000	red_square
None	0	2000	blue_circle
space	355	1000	red_square
None	0	2500	red_circle
space	336	1000	red_square
None	0	2500	yellow_circle
space	341	1500	red_square
None	0	1500	blue_circle
None	0	2500	green_circle
None	0	1500	red_star
None	0	1000	red_star
None	0	2500	yellow_square
None	0	2000	green_circle
None	0	1500	red_circle
space	409	1500	red_square
None	0	1500	red_circle
space	372	1000	red_square
None	0	1500	blue_triangle
None	0	2500	red_triangle
None	0	2000	blue_star
None	0	1500	yellow_triangle
None	0	1500	red_star
space	342	2500	red_square
space	378	1500	red_square
None	0	1000	green_triangle
None	0	1000	blue_square
None	0	1500	green_square
space	364	1000	red_square
None	0	1500	yellow_square
None	0	1000	yellow_star
None	0	2500	green_circle
None	0	1500	blue_circle
None	0	2500	yellow_star
None	0	2000	red_triangle
None	0	1000	blue_circle
None	0	1500	red_triangle
None	0	2000	yellow_square
None	0	2000	yellow_triangle
None	0	1000	yellow_square
None	0	1500	blue_square
None	0	1500	red_triangle
None	0	1500	green_circle
None	0	2500	yellow_circle
space	403	1000	red_square
None	0	2000	green_star
space	425	2500	red_square
None	0	2000	yellow_square
space	335	2500	red_circle
None	0	1500	green_star
space	402	2500	red_square
None	0	1000	red_circle
space	419	2000	red_square
space	514	1000	red_square
None	0	2500	red_star
None	0	1500	blue_star
space	429	2000	red_square
None	0	1000	red_circle
None	0	2000	green_star
None	0	1500	red_star
None	0	2000	blue_square
None	0	2000	yellow_circle
None	0	1000	green_star
None	0	1000	blue_star
None	0	2500	yellow_star
None	0	2000	red_star
None	0	2000	green_circle
None	0	2500	green_triangle
None	0	1500	blue_square
None	0	2500	red_triangle
None	0	1500	red_triangle
None	0	1000	green_circle
space	402	2500	red_square
None	0	2500	red_circle
None	0	2000	yellow_star
space	397	2000	red_square
None	0	2000	yellow_triangle
space	380	1000	red_square
None	0	2500	red_circle
None	0	2000	green_triangle
space	384	1500	red_square
space	430	1500	red_square
None	0	2000	red_star
None	0	1500	yellow_star
None	0	1500	yellow_circle
None	0	2500	green_circle
None	0	1000	yellow_circle
None	0	2000	green_square
space	430	2000	red_square
space	342	1500	red_square
None	0	1000	yellow_star
None	0	1000	green_triangle
None	0	1000	blue_square
None	0	2500	blue_triangle
None	0	1000	green_square
None	0	1000	blue_triangle
None	0	2500	yellow_triangle
None	0	1000	green_square
space	355	2500	red_square
None	0	1000	green_square
None	0	1000	blue_star
None	0	2500	blue_star
space	421	2000	red_square
space	421	2500	red_square
None	0	1000	yellow_square
None	0	1500	blue_star
None	0	1000	red_triangle
None	0	2000	green_square
None	0	2500	yellow_circle
None	0	2000	green_star
None	0	1500	green_square
None	0	1000	green_triangle
None	0	2000	red_triangle
space	407	2500	red_square
space	421	2000	red_square
space	373	1000	red_square
space	420	1000	red_square
space	372	1500	red_square
None	0	2500	blue_triangle
space	387	2500	red_square
None	0	1500	green_square
None	0	2500	blue_square
space	396	1000	red_square
space	444	1000	red_square
space	539	1000	red_square
None	0	2000	red_circle
